Avis,Ordre,Description,Poste technique,Désignation du poste technique,Poste travail princ.,Divis. planification,Groupe gestionnaires,Statut système,Statut utilisateur,Type de travail,Type d'avis,Priorité,Texte de la priorité,Type de priorité,Auteur de l'avis,Créé par,Créé le,Créé à,Date de l'avis,Heure de l'avis,Modifié par,Date de modification,Heure modification,Début souhaité,Heure début souhaitée,Date de la clôture,Heure de clôture,Zone de tri,Centre de coûts,Pompe
12515229,4001660314.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2026-04-13,14:45:13,2026-04-13 00:00:00,14:45:13,BENMOUSSA1,2026-08-27 00:00:00,17:22:03,2026-08-27 00:00:00,17:22:03,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
12807693,4001952600.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:00,2026-05-25 00:00:00,09:52:00,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-M,SF01PEAUMR,1
11922039,4001060152.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2026-01-12,16:14:02,2026-01-12 00:00:00,16:14:02,LABIBI,2026-08-05 00:00:00,13:57:26,2026-08-05 00:00:00,13:57:26,,00:00:00,S-PC-924IP01A-D,SF01PEAUMR,1
11699576,4000023483.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-08,11:56:08,2025-12-08 00:00:00,11:56:07,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-D,SF01PEAUMR,1
12808074,4001953001.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:21,2026-05-25 00:00:00,09:52:21,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-D,SF01PEAUMR,1
13152874,4002285923.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:51,2026-07-10 00:00:00,14:40:51,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP01A-D,SF01PEAUMR,1
13497565,4002591486.0,LUBRIFICATION DES PALIERS,SF01-UT-FDEM-BASSIN-0IP01B,MOTOPOMPE EAU MER VERS CENTRALE IPO1B MC,SF1-MCU,SF01,GM4,AENC OAFF,,350.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-13 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 01B,SF01PEAUMR,1
13497567,4002591488.0,OMS_MESURE VIBRATOIRE PALIERS,SF01-UT-FDEM-BASSIN-0IP01B,MOTOPOMPE EAU MER VERS CENTRALE IPO1B MC,SF1-MCU,SF01,GM4,AENC OAFF,,290.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-12 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 01B,SF01PEAUMR,1
13152636,4002285640.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP01B-CRSV-924FT401,DEBIT REFOULEMENT PPE IP01/AB,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:41,2026-07-10 00:00:00,14:40:41,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 FIT 401 E,SF01PEAUMR,1
13152676,4002285693.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP01B-CRSV-924PT006,PRESSION EAU DE MER DES POMPES  IP01A/B,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:43,2026-07-10 00:00:00,14:40:43,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 PT 006 E,SF01PEAUMR,1
13152707,4002285741.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP01B-CRSV-924TT110,T°EAU DE MER  DES POMPES  IP01A/B,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:44,2026-07-10 00:00:00,14:40:44,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 TT 110 E,SF01PEAUMR,1
